Term                                                                                                                            	Code           	Retired
Abdominal aortic aneurysm                                                                                                       	233985008      	No     
Abdominal aortic aneurysm 3.0 to 5.0 centimeters in female                                                                      	450771000124104	No     
Abdominal aortic aneurysm 3.0 to 5.5 centimeters in male                                                                        	450781000124101	No     
Abdominal aortic aneurysm greater than 5.0 centimeters in female                                                                	450791000124103	No     
Abdominal aortic aneurysm greater than 5.5 centimeters in male                                                                  	450801000124102	No     
Abdominal aortic aneurysm stenting                                                                                              	307701005      	No     
Abdominal aortic aneurysm without rupture                                                                                       	75878002       	No     
Aneurysm of infrarenal abdominal aorta                                                                                          	444569004      	No     
Aneurysm of suprarenal aorta                                                                                                    	426270006      	No     
Aorto-iliac bifurcation graft for repair of aneurysm                                                                            	405529005      	No     
Aorto-profunda bifurcation bypass with prosthesis                                                                               	405486002      	No     
Aorto-profunda bifurcation graft for repair of aneurysm                                                                         	405521008      	No     
Dissection of abdominal aorta                                                                                                   	408666009      	No     
Dissection of thoracoabdominal aorta                                                                                            	713029000      	No     
Elective repair of infrarenal abdominal aortic aneurysm                                                                         	698995008      	No     
Elective repair of suprarenal abdominal aortic aneurysm                                                                         	698996009      	No     
Emergency repair of ruptured infrarenal abdominal aortic aneurysm                                                               	698992006      	No     
Emergency repair of ruptured suprarenal abdominal aortic aneurysm                                                               	698994007      	No     
Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery                              	175283003      	No     
Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery                                	265492000      	No     
Endovascular repair of abdominal aortic aneurysm                                                                                	444588006      	No     
Endovascular repair of abdominal aortic aneurysm using fluoroscopic guidance                                                    	699114003      	No     
Endovascular repair of abdominal aortic aneurysm with insertion of visceral extension prosthesis                                	438361005      	No     
Enlarging abdominal aortic aneurysm                                                                                             	425771001      	No     
Familial abdominal aortic aneurysm                                                                                              	715364001      	No     
Fluoroscopic angiography of abdominal aorta and insertion of stent                                                              	419740003      	No     
Fluoroscopic angiography of abdominal aorta using contrast with insertion of drug eluting stent                                 	432030003      	No     
Fluoroscopic angiography of abdominal aorta using contrast with insertion of fenestrated bifurcated stent graft                 	433806009      	No     
Fluoroscopic angiography of abdominal aorta using contrast with insertion of fenestrated tube stent graft                       	434376005      	No     
